effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2016-05-16,2016-05-13,True,False,,,FCX | HES | MRO | NFX | WYNN,FCX:0.1000000000 | HES:0.1000000000 | MRO:0.1000000000 | NFX:0.1000000000 | WYNN:0.1000000000,0.5,0.5
2016-05-23,2016-05-20,True,False,CHK | MUR,HES | WYNN,CHK | FCX | MRO | MUR | NFX,CHK:0.1000000000 | FCX:0.1000000000 | MRO:0.1000000000 | MUR:0.1000000000 | NFX:0.1000000000,0.5,0.5
2016-05-31,2016-05-27,True,False,SWN,NFX,CHK | FCX | MRO | MUR | SWN,CHK:0.2000000000 | FCX:0.2000000000 | MRO:0.2000000000 | MUR:0.2000000000 | SWN:0.2000000000,1.0,0.0
2016-06-07,2016-06-06,True,False,DVN | NEM | OKE | RRC,CHK | FCX | MRO | MUR,DVN | NEM | OKE | RRC | SWN,DVN:0.2000000000 | NEM:0.2000000000 | OKE:0.2000000000 | RRC:0.2000000000 | SWN:0.2000000000,1.0,0.0
2016-06-28,2016-06-27,True,False,WMB,NEM,DVN | OKE | RRC | SWN | WMB,DVN:0.1000000000 | OKE:0.1000000000 | RRC:0.1000000000 | SWN:0.1000000000 | WMB:0.1000000000,0.5,0.5
2016-07-06,2016-07-05,True,False,,,DVN | OKE | RRC | SWN | WMB,DVN:0.2000000000 | OKE:0.2000000000 | RRC:0.2000000000 | SWN:0.2000000000 | WMB:0.2000000000,1.0,0.0
2016-07-13,2016-07-12,True,False,FMC | NOV,DVN | RRC,FMC | NOV | OKE | SWN | WMB,FMC:0.2000000000 | NOV:0.2000000000 | OKE:0.2000000000 | SWN:0.2000000000 | WMB:0.2000000000,1.0,0.0
2016-07-20,2016-07-19,True,False,VIAB,FMC,NOV | OKE | SWN | VIAB | WMB,NOV:0.2000000000 | OKE:0.2000000000 | SWN:0.2000000000 | VIAB:0.2000000000 | WMB:0.2000000000,1.0,0.0
2016-07-27,2016-07-26,True,False,MU | NEM | QRVO,SWN | VIAB | WMB,MU | NEM | NOV | OKE | QRVO,MU:0.2000000000 | NEM:0.2000000000 | NOV:0.2000000000 | OKE:0.2000000000 | QRVO:0.2000000000,1.0,0.0
2016-08-03,2016-08-02,True,False,MRO | STX,NEM | NOV,MRO | MU | OKE | QRVO | STX,MRO:0.2000000000 | MU:0.2000000000 | OKE:0.2000000000 | QRVO:0.2000000000 | STX:0.2000000000,1.0,0.0
2016-08-10,2016-08-09,True,False,WDC,OKE,MRO | MU | QRVO | STX | WDC,MRO:0.2000000000 | MU:0.2000000000 | QRVO:0.2000000000 | STX:0.2000000000 | WDC:0.2000000000,1.0,0.0
2016-08-17,2016-08-16,True,False,RIG,MRO,MU | QRVO | RIG | STX | WDC,MU:0.2000000000 | QRVO:0.2000000000 | RIG:0.2000000000 | STX:0.2000000000 | WDC:0.2000000000,1.0,0.0
2016-08-24,2016-08-23,True,False,CHK,QRVO,CHK | MU | RIG | STX | WDC,CHK:0.2000000000 | MU:0.2000000000 | RIG:0.2000000000 | STX:0.2000000000 | WDC:0.2000000000,1.0,0.0
2016-08-31,2016-08-30,True,False,GPS | LLTC | NEM,MU | RIG | WDC,CHK | GPS | LLTC | NEM | STX,CHK:0.2000000000 | GPS:0.2000000000 | LLTC:0.2000000000 | NEM:0.2000000000 | STX:0.2000000000,1.0,0.0
2016-09-08,2016-09-07,True,False,MNK,CHK,GPS | LLTC | MNK | NEM | STX,GPS:0.2000000000 | LLTC:0.2000000000 | MNK:0.2000000000 | NEM:0.2000000000 | STX:0.2000000000,1.0,0.0
2016-09-15,2016-09-14,True,False,ENDP | JWN,LLTC | NEM,ENDP | GPS | JWN | MNK | STX,ENDP:0.2000000000 | GPS:0.2000000000 | JWN:0.2000000000 | MNK:0.2000000000 | STX:0.2000000000,1.0,0.0
2016-09-22,2016-09-21,True,False,CHK,GPS,CHK | ENDP | JWN | MNK | STX,CHK:0.2000000000 | ENDP:0.2000000000 | JWN:0.2000000000 | MNK:0.2000000000 | STX:0.2000000000,1.0,0.0
2016-09-29,2016-09-28,True,False,WMB,MNK,CHK | ENDP | JWN | STX | WMB,CHK:0.2000000000 | ENDP:0.2000000000 | JWN:0.2000000000 | STX:0.2000000000 | WMB:0.2000000000,1.0,0.0
2016-10-06,2016-10-05,True,False,MU,ENDP,CHK | JWN | MU | STX | WMB,CHK:0.2000000000 | JWN:0.2000000000 | MU:0.2000000000 | STX:0.2000000000 | WMB:0.2000000000,1.0,0.0
